sample_id,legacy_test_sample_id,orig_index,tissue_name,gt_instance_count,gt_empty,density_bin,prediction_status,included_E1,included_E2,included_E3,pred_instance_count,bpq,dq,sq,aji_kumar,aji_plus,dice,tp,fp,fn,matched_iou_sum,fn_merged,fn_complex,fn_true_miss,fn_low_iou,fp_split,fp_complex,fp_spurious,fp_low_iou
fold3_0002078,sa_0006918,2078,Head & Neck,16,0,"[10,25)",AVAILABLE,1,1,1,7,0.5030409110943252,0.6086956521739131,0.8264243539406771,0.42420327304048233,0.42420327304048233,0.595706078016329,7,0,9,5.784971304009094,0,0,9,0,0,0,0,0
fold3_0002079,sa_0006919,2079,Head & Neck,10,0,"[10,25)",AVAILABLE,1,1,1,9,0.7491563153243829,0.8421052631578947,0.8896231244477047,0.8177542621987066,0.8177542621987066,0.8997412677878396,8,1,2,7.116985885204762,0,0,2,0,0,0,1,0
fold3_0002080,sa_0006920,2080,Head & Neck,26,0,"[25,50)",AVAILABLE,1,1,1,11,0.3995561114119552,0.5405405405405406,0.7391788061121171,0.3534167970787689,0.3457534246575342,0.5529315960912052,10,1,16,7.391788800299976,1,0,15,0,0,0,1,0
fold3_0002081,sa_0006921,2081,Head & Neck,22,0,"[10,25)",AVAILABLE,1,1,1,18,0.7680990545990605,0.9,0.8534433939989561,0.7189103829451243,0.7189103829451243,0.8364722094625632,18,0,4,15.361981945424604,0,0,4,0,0,0,0,0
fold3_0002082,sa_0006922,2082,Head & Neck,10,0,"[10,25)",AVAILABLE,1,1,1,9,0.5385873641953984,0.631578947368421,0.8527633266427143,0.546148507980569,0.546148507980569,0.7064631956912029,6,3,4,5.116580812619612,0,0,3,1,0,0,2,1
fold3_0002083,sa_0006923,2083,Head & Neck,23,0,"[10,25)",AVAILABLE,1,1,1,8,0.423153022470327,0.5161290322580645,0.8198589810362585,0.3186515748031496,0.3186515748031496,0.4832991229707035,8,0,15,6.558872668149049,0,0,15,0,0,0,0,0
fold3_0002084,sa_0006924,2084,Head & Neck,16,0,"[10,25)",AVAILABLE,1,1,1,6,0.4642529241129619,0.5454545454545454,0.8511303608737635,0.4111594776414721,0.4111594776414721,0.5827257431295569,6,0,10,5.106783016372942,0,0,10,0,0,0,0,0
fold3_0002085,sa_0006925,2085,Head & Neck,51,0,"[50,+inf)",AVAILABLE,1,1,1,19,0.3980705745768601,0.5142857142857142,0.7740261172327837,0.37110481586402266,0.3561665862678887,0.5904671567465023,18,1,33,13.932470884216224,4,0,29,0,0,0,0,1
fold3_0002086,sa_0006926,2086,Head & Neck,32,0,"[25,50)",AVAILABLE,1,1,1,19,0.5818958178697037,0.7058823529411765,0.8243524086487468,0.5538679366713862,0.6075835088775203,0.8056907525271434,18,1,14,14.838344180029852,4,0,10,0,0,0,0,1
fold3_0002087,sa_0006927,2087,Head & Neck,10,0,"[10,25)",AVAILABLE,1,1,1,7,0.6393230586174361,0.8235294117647058,0.776320856892601,0.6386441976254309,0.6516901112744069,0.8483538833100293,7,0,3,5.434246774569064,0,1,2,0,0,0,0,0
fold3_0002088,sa_0006928,2088,Head & Neck,9,0,"[1,10)",AVAILABLE,1,1,1,7,0.5124967623008966,0.625,0.8199948196814345,0.5890211318921544,0.5890211318921544,0.7933353714460409,5,2,4,4.099974918401992,0,0,3,1,2,0,0,0
fold3_0002089,sa_0006929,2089,Head & Neck,4,0,"[1,10)",AVAILABLE,1,1,1,3,0.6081233072644038,0.8571428571428571,0.7094771918084711,0.6500920810313076,0.6500920810313076,0.7879464285714286,3,0,1,2.128432284902605,0,0,1,0,0,0,0,0
fold3_0002090,sa_0006930,2090,Head & Neck,39,0,"[25,50)",AVAILABLE,1,1,1,36,0.7759274158820613,0.9066666666666666,0.8558022969287441,0.7960543679070995,0.8127856996656887,0.9111780203236733,34,2,5,29.097278951379593,1,0,3,1,0,0,1,1
fold3_0002091,sa_0006931,2091,Head & Neck,11,0,"[10,25)",AVAILABLE,1,1,1,10,0.679489044304173,0.8571428571428571,0.7927372183548685,0.5924725822532403,0.6091772151898734,0.8344804981973124,9,1,2,7.134635757931035,1,0,1,0,1,0,0,0
fold3_0002092,sa_0006932,2092,Head & Neck,12,0,"[10,25)",AVAILABLE,1,1,1,10,0.7435326220986208,0.9090909090909091,0.8178858843084829,0.7410666666666667,0.7587731417518652,0.8732128829536527,10,0,2,8.178859660970712,1,0,1,0,0,0,0,0
fold3_0002093,sa_0006933,2093,Head & Neck,14,0,"[10,25)",AVAILABLE,1,1,1,10,0.5678296612435434,0.6666666666666666,0.8517444918653152,0.49906287272107686,0.53786000381461,0.7632394890239365,8,2,6,6.8139567866670125,0,1,5,0,0,1,1,0
fold3_0002094,sa_0006934,2094,Head & Neck,15,0,"[10,25)",AVAILABLE,1,1,1,9,0.6088024917297564,0.75,0.8117366556396752,0.6563344460340168,0.6563344460340168,0.7925143953934741,9,0,6,7.305630712493732,0,0,6,0,0,0,0,0
fold3_0002095,sa_0006935,2095,Head & Neck,14,0,"[10,25)",AVAILABLE,1,1,1,13,0.5914088253236718,0.6666666666666666,0.8871132379855078,0.5283975659229209,0.5283975659229209,0.6914399469143995,9,4,5,7.984020028982807,0,0,5,0,0,0,4,0
fold3_0002096,sa_0006936,2096,Head & Neck,38,0,"[25,50)",AVAILABLE,1,1,1,31,0.6237816324250477,0.7246376811594203,0.8608186527465658,0.6526739221638163,0.7006697433588474,0.8753205923719699,25,6,13,21.520467179482797,6,1,6,0,0,1,3,2
fold3_0002097,sa_0006937,2097,Head & Neck,38,0,"[25,50)",AVAILABLE,1,1,1,35,0.609744543420465,0.7123287671232876,0.8559875321094991,0.5969226191741228,0.6196139036592713,0.9114697891059645,26,9,12,22.25567669083451,11,0,1,0,1,0,5,3
fold3_0002098,sa_0006938,2098,Head & Neck,50,0,"[50,+inf)",AVAILABLE,1,1,1,40,0.7532426969794759,0.8444444444444444,0.8919979306335899,0.7599776864952584,0.799306410112988,0.9323551355384233,38,2,12,33.89592225607434,6,0,6,0,0,0,0,2
fold3_0002099,sa_0006939,2099,Head & Neck,8,0,"[1,10)",AVAILABLE,1,1,1,6,0.6179472383445019,0.7142857142857143,0.8651261336823027,0.7382082054144572,0.7382082054144572,0.8493898522800257,5,1,3,4.325631533537647,0,0,3,0,0,0,1,0
fold3_0002100,sa_0006940,2100,Head & Neck,18,0,"[10,25)",AVAILABLE,1,1,1,15,0.6458259954360106,0.7878787878787878,0.819702224976475,0.6881167930837615,0.6881167930837615,0.8281959609624119,13,2,5,10.6561297443964,0,0,5,0,1,0,1,0
fold3_0002101,sa_0006941,2101,Head & Neck,31,0,"[25,50)",AVAILABLE,1,1,1,22,0.6234239362158044,0.7547169811320755,0.8260367154859407,0.5835483570118445,0.6418664283771708,0.8883577851396119,20,2,11,16.52073513575553,5,0,6,0,0,0,2,0
fold3_0002102,sa_0006942,2102,Head & Neck,26,0,"[25,50)",AVAILABLE,1,1,1,24,0.6413704323142257,0.76,0.8439084635713496,0.6302505526897568,0.7068946497517926,0.893039488140632,19,5,7,16.03426165176411,7,0,0,0,0,1,2,2
fold3_0002103,sa_0006943,2103,Head & Neck,24,0,"[10,25)",AVAILABLE,1,1,1,15,0.3563865589397454,0.46153846153846156,0.7721708777027817,0.4811800610376399,0.5036201022146508,0.8708398243874805,9,6,15,6.949538671495913,13,0,1,1,0,0,1,5
fold3_0002104,sa_0006944,2104,Head & Neck,44,0,"[25,50)",AVAILABLE,1,1,1,32,0.5821979692600571,0.6842105263157895,0.8509047243031603,0.5921193275677776,0.6073013198539736,0.8517716122719966,26,6,18,22.123523682786892,7,2,7,2,0,1,1,4
fold3_0002105,sa_0006945,2105,Head & Neck,26,0,"[25,50)",AVAILABLE,1,1,1,19,0.7046948529537574,0.8,0.8808685661921968,0.7265154639175258,0.7488290935806777,0.9251693535682403,18,1,8,15.85563507232811,4,0,4,0,0,0,0,1
fold3_0002106,sa_0006946,2106,Head & Neck,41,0,"[25,50)",AVAILABLE,1,1,1,22,0.3758589797001015,0.47619047619047616,0.7893038573702132,0.4492015861108134,0.5058442584109936,0.8928515235747627,15,7,26,11.839558649857056,20,1,5,0,0,1,0,6
fold3_0002107,sa_0006947,2107,Head & Neck,5,0,"[1,10)",AVAILABLE,1,1,1,7,0.4795060570658225,0.5,0.959012114131645,0.5329586101175269,0.5329586101175269,0.812,3,4,2,2.877037301407049,0,0,1,1,2,0,2,0
