method,protocol,dimension,bin,sample_count,gt_instance_count,bpq,aji_kumar,dice,r_merge,r_miss,coverage_rate,metric_scope
exp5,E2,gt_density,"[50,+inf)",220,16602,0.5139413327860257,0.4987995686341554,0.8331522773192869,0.3888389993585632,0.3542014111610006,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Adrenal Gland,154,2346,0.6112257689210241,0.6241004856807048,0.7879435974486102,0.20050125313283207,0.7230576441102757,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Bile Duct,149,3520,0.6063646538972158,0.6168107347801037,0.8201400945204881,0.30977312390924955,0.5767888307155323,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Bladder,57,1242,0.6489443178688021,0.6626029941322589,0.8455094057735136,0.312,0.6,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Breast,766,16404,0.5970769665328551,0.6160522378976521,0.8268795806602139,0.30744391570360297,0.5282121006118287,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Cervix,72,2233,0.652468103716481,0.6573721160713472,0.8483625942102208,0.34841628959276016,0.55052790346908,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Colon,443,11819,0.49544642799161503,0.5115769858803074,0.7828248484573526,0.3834859215754016,0.3631024356538262,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Esophagus,141,3315,0.5647999433521771,0.5707910861961418,0.8261526886290191,0.3109634551495017,0.42857142857142855,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Head & Neck,128,3314,0.5503270325942883,0.5576562261498932,0.7541596042019781,0.324729392173189,0.5362198168193172,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Kidney,38,1134,0.6349221206388419,0.6465082474721505,0.8558473905371391,0.42572062084257206,0.3237250554323725,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Liver,93,2102,0.6631119063459405,0.670519032228367,0.845486427330911,0.23488773747841105,0.6839378238341969,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Lung,51,2093,0.5870062171273713,0.6053263157199565,0.8053603603854077,0.18214716525934863,0.7430639324487334,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Ovarian,52,1443,0.5484809176545695,0.5402406540788589,0.8463768170203572,0.3875838926174497,0.36073825503355705,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Pancreatic,28,730,0.603790330709632,0.6103396696361063,0.8486546280894426,0.42276422764227645,0.44308943089430897,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Prostate,66,1644,0.6044347919927208,0.5971052770514546,0.8322221101478011,0.3649122807017544,0.45614035087719296,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Skin,41,1585,0.5256027896360861,0.5309430958235333,0.7654811441817595,0.42276422764227645,0.35772357723577236,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Stomach,48,1804,0.6489145477815118,0.6471774479189112,0.8721682582942439,0.47906197654941374,0.40033500837520936,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Testis,56,1356,0.6427519491470609,0.6464429712561414,0.836320085353963,0.3251121076233184,0.5695067264573991,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Thyroid,61,1396,0.6488975295341993,0.646798465419423,0.8502286158547407,0.3768472906403941,0.4729064039408867,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,tissue,Uterus,163,7173,0.5620418780884209,0.5529791627743722,0.8382480832156413,0.36882371692700033,0.39368823716927,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,gt_area,"[1,10)",690,889,0.0,0.00014966244330681357,NOT_APPLICABLE_INSTANCE_STRATUM,0.0843644544431946,0.8807649043869517,0.11923509561304838,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E2,gt_area,"[10,20)",566,694,0.0,0.0005524310684558788,NOT_APPLICABLE_INSTANCE_STRATUM,0.07780979827089338,0.8861671469740634,0.1138328530259366,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E2,gt_area,"[20,50)",1091,1870,0.000746930486829293,0.003746592147021689,NOT_APPLICABLE_INSTANCE_STRATUM,0.1457663451232583,0.8038585209003215,0.19786096256684493,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E2,gt_area,"[50,100)",1445,3883,0.048446509528548384,0.057074478952624456,NOT_APPLICABLE_INSTANCE_STRATUM,0.2075637642919965,0.7112283787745529,0.3752253412310069,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E2,gt_area,"[100,200)",1962,9323,0.2857539019769949,0.27627593330010486,NOT_APPLICABLE_INSTANCE_STRATUM,0.28115835777126097,0.5819281524926686,0.6594443848546605,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E2,gt_area,"[200,+inf)",2574,49994,0.6696949346237656,0.6517326139090521,NOT_APPLICABLE_INSTANCE_STRATUM,0.45350299622697343,0.27446918694976696,0.9257910949313918,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E3,gt_density,"[0,1)",0,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,0.0,0.0,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,gt_density,"[1,10)",405,2238,0.5691513587801551,0.5982964590612431,0.74691692994685,0.16228070175438597,0.7105263157894737,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,gt_density,"[10,25)",1133,19125,0.5968899179383178,0.6148668560965617,0.8165874782114518,0.27362956176515496,0.5976484959535807,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,gt_density,"[25,50)",849,28688,0.5847564575795109,0.5840093953953674,0.8463374524868018,0.35529847292919947,0.46719111522443313,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,gt_density,"[50,+inf)",220,16602,0.5139413327860257,0.4987995686341554,0.8331522773192869,0.3888389993585632,0.3542014111610006,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Adrenal Gland,154,2346,0.6112257689210241,0.6241004856807048,0.7879435974486102,0.20050125313283207,0.7230576441102757,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Bile Duct,149,3520,0.6063646538972158,0.6168107347801037,0.8201400945204881,0.30977312390924955,0.5767888307155323,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Bladder,57,1242,0.6489443178688021,0.6626029941322589,0.8455094057735136,0.312,0.6,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Breast,766,16404,0.5970769665328551,0.6160522378976521,0.8268795806602139,0.30744391570360297,0.5282121006118287,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Cervix,72,2233,0.652468103716481,0.6573721160713472,0.8483625942102208,0.34841628959276016,0.55052790346908,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Colon,443,11819,0.49544642799161503,0.5115769858803074,0.7828248484573526,0.3834859215754016,0.3631024356538262,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Esophagus,141,3315,0.5647999433521771,0.5707910861961418,0.8261526886290191,0.3109634551495017,0.42857142857142855,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Head & Neck,128,3314,0.5503270325942883,0.5576562261498932,0.7541596042019781,0.324729392173189,0.5362198168193172,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Kidney,38,1134,0.6349221206388419,0.6465082474721505,0.8558473905371391,0.42572062084257206,0.3237250554323725,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Liver,93,2102,0.6631119063459405,0.670519032228367,0.845486427330911,0.23488773747841105,0.6839378238341969,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Lung,51,2093,0.5870062171273713,0.6053263157199565,0.8053603603854077,0.18214716525934863,0.7430639324487334,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Ovarian,52,1443,0.5484809176545695,0.5402406540788589,0.8463768170203572,0.3875838926174497,0.36073825503355705,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Pancreatic,28,730,0.603790330709632,0.6103396696361063,0.8486546280894426,0.42276422764227645,0.44308943089430897,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Prostate,66,1644,0.6044347919927208,0.5971052770514546,0.8322221101478011,0.3649122807017544,0.45614035087719296,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Skin,41,1585,0.5256027896360861,0.5309430958235333,0.7654811441817595,0.42276422764227645,0.35772357723577236,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Stomach,48,1804,0.6489145477815118,0.6471774479189112,0.8721682582942439,0.47906197654941374,0.40033500837520936,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Testis,56,1356,0.6427519491470609,0.6464429712561414,0.836320085353963,0.3251121076233184,0.5695067264573991,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Thyroid,61,1396,0.6488975295341993,0.646798465419423,0.8502286158547407,0.3768472906403941,0.4729064039408867,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,tissue,Uterus,163,7173,0.5620418780884209,0.5529791627743722,0.8382480832156413,0.36882371692700033,0.39368823716927,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E3,gt_area,"[1,10)",690,889,0.0,0.00014966244330681357,NOT_APPLICABLE_INSTANCE_STRATUM,0.0843644544431946,0.8807649043869517,0.11923509561304838,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E3,gt_area,"[10,20)",566,694,0.0,0.0005524310684558788,NOT_APPLICABLE_INSTANCE_STRATUM,0.07780979827089338,0.8861671469740634,0.1138328530259366,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E3,gt_area,"[20,50)",1091,1870,0.000746930486829293,0.003746592147021689,NOT_APPLICABLE_INSTANCE_STRATUM,0.1457663451232583,0.8038585209003215,0.19786096256684493,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E3,gt_area,"[50,100)",1445,3883,0.048446509528548384,0.057074478952624456,NOT_APPLICABLE_INSTANCE_STRATUM,0.2075637642919965,0.7112283787745529,0.3752253412310069,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E3,gt_area,"[100,200)",1962,9323,0.2857539019769949,0.27627593330010486,NOT_APPLICABLE_INSTANCE_STRATUM,0.28115835777126097,0.5819281524926686,0.6594443848546605,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E3,gt_area,"[200,+inf)",2574,49994,0.6696949346237656,0.6517326139090521,NOT_APPLICABLE_INSTANCE_STRATUM,0.45350299622697343,0.27446918694976696,0.9257910949313918,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
