sample_id,legacy_test_sample_id,orig_index,tissue_name,gt_instance_count,gt_empty,density_bin,prediction_status,included_E1,included_E2,included_E3,pred_instance_count,bpq,dq,sq,aji_kumar,aji_plus,dice,tp,fp,fn,matched_iou_sum,fn_merged,fn_complex,fn_true_miss,fn_low_iou,fp_split,fp_complex,fp_spurious,fp_low_iou
fold3_0000070,sa_0005016,70,Breast,3,0,"[1,10)",AVAILABLE,1,1,1,3,0.26368132835847263,0.3333333333333333,0.791043985075418,0.10016725515703401,0.10016725515703401,0.1820945945945946,1,2,2,0.7910447761194029,0,0,1,1,0,0,1,1
fold3_0000071,sa_0005017,71,Breast,9,0,"[1,10)",AVAILABLE,1,1,1,8,0.7739528043275434,0.9411764705882353,0.822324854598015,0.7572705117790415,0.7572705117790415,0.8618713017751479,8,0,1,6.578599659108973,0,0,1,0,0,0,0,0
fold3_0000072,sa_0005018,72,Breast,22,0,"[10,25)",AVAILABLE,1,1,1,15,0.5857365017633662,0.7567567567567568,0.7740089487587338,0.6004228329809725,0.6354563803543395,0.7857387727116901,14,1,8,10.836126056631223,0,1,7,0,0,0,1,0
fold3_0000073,sa_0005019,73,Breast,19,0,"[10,25)",AVAILABLE,1,1,1,15,0.3389761072172143,0.47058823529411764,0.7203242278365803,0.40147046941908376,0.3697411722849773,0.6453246753246753,8,7,11,5.76259454301687,3,0,5,3,0,0,3,4
fold3_0000074,sa_0005020,74,Breast,13,0,"[10,25)",AVAILABLE,1,1,1,9,0.6108250560998043,0.8181818181818182,0.7465639574553163,0.6813082849033654,0.6813082849033654,0.8104501607717042,9,0,4,6.719076363661804,0,0,4,0,0,0,0,0
fold3_0000075,sa_0005021,75,Breast,31,0,"[25,50)",AVAILABLE,1,1,1,23,0.44991607729991445,0.5925925925925926,0.7592333804436057,0.4689117108510469,0.49207660145563414,0.8172005811942157,16,7,15,12.147734846331073,12,0,3,0,1,0,2,4
fold3_0000076,sa_0005022,76,Breast,41,0,"[25,50)",AVAILABLE,1,1,1,23,0.4648725187918176,0.59375,0.7829431895441139,0.4760156382797892,0.5244742229666853,0.8584421926504701,19,4,22,14.875921384281355,13,0,9,0,0,0,0,4
fold3_0000077,sa_0005023,77,Breast,28,0,"[25,50)",AVAILABLE,1,1,1,16,0.39682284347404007,0.5454545454545454,0.7275085463690735,0.32437758918875437,0.3910773298083278,0.7733168622606548,12,4,16,8.730103283937428,8,3,5,0,0,1,1,2
fold3_0000078,sa_0005024,78,Breast,50,0,"[50,+inf)",AVAILABLE,1,1,1,33,0.5388935315796702,0.6746987951807228,0.7987171985912971,0.5827828241123039,0.6028212301509122,0.8348493042922465,28,5,22,22.364082359273517,7,4,11,0,0,2,0,3
fold3_0000079,sa_0005025,79,Breast,45,0,"[25,50)",AVAILABLE,1,1,1,29,0.5042911710247845,0.6756756756756757,0.746350933116681,0.44591335924423386,0.5173662816436592,0.8599013314943504,25,4,20,18.65877407426796,9,6,5,0,1,2,0,1
fold3_0000080,sa_0005026,80,Breast,14,0,"[10,25)",AVAILABLE,1,1,1,11,0.7384076336539022,0.88,0.8390995836976161,0.805480356553318,0.805480356553318,0.8922615564657694,11,0,3,9.23009625977336,0,0,3,0,0,0,0,0
fold3_0000081,sa_0005027,81,Breast,17,0,"[10,25)",AVAILABLE,1,1,1,11,0.5718339113842904,0.7142857142857143,0.8005674759380066,0.5786942066916602,0.5907962129442806,0.7981852773306015,10,1,7,8.00567555994754,2,0,5,0,0,0,0,1
fold3_0000082,sa_0005028,82,Breast,4,0,"[1,10)",AVAILABLE,1,1,1,5,0.6882351185734561,0.8888888888888888,0.7742645083951382,0.6775976418570376,0.6775976418570376,0.8095761036679112,4,1,0,3.097058807845061,0,0,0,0,1,0,0,0
fold3_0000083,sa_0005029,83,Breast,15,0,"[10,25)",AVAILABLE,1,1,1,9,0.5720881191866014,0.6666666666666666,0.8581321787799021,0.650700690232169,0.6417481311098332,0.8717338003502627,8,1,7,6.865058288371395,2,0,5,0,0,0,0,1
fold3_0000084,sa_0005030,84,Breast,17,0,"[10,25)",AVAILABLE,1,1,1,14,0.6864719852909178,0.8387096774193549,0.8184858286160942,0.7018128005919348,0.7344583454563088,0.8485797360769403,13,1,4,10.640316590495052,1,0,3,0,0,0,1,0
fold3_0000085,sa_0005031,85,Breast,18,0,"[10,25)",AVAILABLE,1,1,1,12,0.625425742352862,0.7333333333333333,0.85285328502663,0.7601365770379855,0.7722595078299777,0.8992678616510982,11,1,7,9.381386988146215,2,0,5,0,0,0,0,1
fold3_0000086,sa_0005032,86,Breast,8,0,"[1,10)",AVAILABLE,1,1,1,5,0.6481038691354364,0.7692307692307693,0.8425350298760673,0.8071446415188609,0.8071446415188609,0.8932817251866187,5,0,3,4.212675991915367,0,0,3,0,0,0,0,0
fold3_0000087,sa_0005033,87,Breast,14,0,"[10,25)",AVAILABLE,1,1,1,11,0.735721968612072,0.88,0.8360476916046272,0.7770109471680152,0.7770109471680152,0.8745145306013125,11,0,3,9.19652544369859,0,0,3,0,0,0,0,0
fold3_0000088,sa_0005034,88,Breast,14,0,"[10,25)",AVAILABLE,1,1,1,11,0.6954371734224122,0.88,0.7902695152527411,0.6821987221855034,0.6821987221855034,0.8110798245039618,11,0,3,8.692965458049667,0,0,3,0,0,0,0,0
fold3_0000089,sa_0005035,89,Breast,19,0,"[10,25)",AVAILABLE,1,1,1,16,0.7268950019987731,0.8571428571428571,0.8480441689985687,0.803219633006867,0.803219633006867,0.8927456611312273,15,1,4,12.7206633830227,0,0,3,1,0,0,0,1
fold3_0000090,sa_0005036,90,Breast,24,0,"[10,25)",AVAILABLE,1,1,1,19,0.5417692847410772,0.6976744186046512,0.7765359747955439,0.6476980688743667,0.6476980688743667,0.8095365418894831,15,4,9,11.648040398469133,0,0,7,2,3,0,0,1
fold3_0000091,sa_0005037,91,Breast,17,0,"[10,25)",AVAILABLE,1,1,1,16,0.6262185650467587,0.7878787878787878,0.794815871020886,0.7209685729005667,0.7209685729005667,0.8499580888516345,13,3,4,10.332607118087388,0,0,3,1,1,0,1,1
